Entry,Spoken,IPA,Written,Script (Text),Script (Image),Mandarin,English
561,doRolem,dɔʁɔlɯm,doholombi,ᡩᠣᡥᠣᠯᠣᠮᠪᡳ,561,瘸腿走,to limp
562,dorolem,dɔrɔlɯm,dorolombi,ᡩᠣᡵᠣᠯᠣᠮᠪᡳ,562,行礼,to salute; to make a salutation 
563,doRoljem,dɔʁɔɹɖʐɯm,doholjembi,ᡩᠣᡥᠣᠯᠵᡝᠮᠪᡳ,563,瘸腿走,to limp
564,doRolun,dɔʁɔlun,doholon,ᡩᠣᡥᠣᠯᠣᠨ,564,瘸,cripple
565,doRorem,dɔʁɔrɯm,dohorombi,ᡩᠣᡥᠣᡵᠣᠮᠪᡳ,565,滚,to roll (over)
566,doRorevem,dɔʁɔrɯvɯm,dohorobumbi,ᡩᠣᡥᠣᡵᠣᠪᡠᠮᠪᡳ,566,使滚,causative form of doRorem (= dohorombi)
567,dorRun,dɔrʁun,dorhon,ᡩᠣᡵᡥᠣᠨ,567,獾,badger
568,dudum,dudum,dedumbi,ᡩᡝᡩᡠᠮᠪᡳ,568,躺,to lie down
569,dudum yilaRei,dudum jilaʁɯj,dedume ilihabi,ᡩᡝᡩᡠᠮᡝ ᡳᠯᡳᡥᠠᠪᡳ,569,躺着,to be lying down
570,duduvem,duduvɯm,dedubumbi,ᡩᡝᡩᡠᠪᡠᠮᠪᡳ,570,使躺,causative form of dudum (= dedumbi)
571,duduvem,duduvɯm,dedubumbi,ᡩᡝᡩᡠᠪᡠᠮᠪᡳ,571,使躺,causative form of dudum (= dedumbi)
572,dufen,dufɯn,dufen,ᡩᡠᡶᡝᠨ,572,淫乱,lascivious
573,duiitE,duiitə,duite,ᡩᡠᡳᡨᡝ,573,各四个,every fourth; four each
574,duivelem,dujvɯlɯm,duibulembi,ᡩᡠᡳᠪᡠᠯᡝᠮᠪᡳ,574,对比,to contrast
575,dulm,duɹm,dulembi,ᡩᡠᠯᡝᠮᠪᡳ,575,过,"to go by, to pass"
576,duN,duŋ,dunggu,ᡩᡠᠩᡤᡠ,576,洞,"cave, hole"
577,duNa,duŋa,dungga,ᡩᡠᠩᡤᠠ,577,西瓜,watermelon
578,duqa,duqa,duka,ᡩᡠᡴᠠ,578,院门,gate
579,duRa,duʁa,duha,ᡩᡠᡥᠠ,579,肠子,"intestines, guts"
580,durun,durun,durun,ᡩᡠᡵᡠᠨ,580,"样子, 形式","appearance, form/shape"
581,durVo,durɣɔ,derhuwe,ᡩᡝᡵᡥᡠᠸᡝ,581,苍蝇,housefly
582,dutw,dutʷ,dutu,ᡩᡠᡨᡠ,582,聋,(of a person) hard of hearing
583,duu,duu,deo,ᡩᡝᠣ,583,弟弟,younger brother
584,duu orun,duu ɔrun,deo urun,ᡩᡝᠣ ᡠᡵᡠᠨ,584,弟妹,younger brother's wife
585,duv,duv,dube,ᡩᡠᠪᡝ,585,尖,"tip, point, end"
586,duvuN,duvuŋ,dubengge,ᡩᡠᠪᡝᠩᡤᡝ,586,有尖的,pointed
587,duyin,dujin,duin,ᡩᡠᡳᠨ,587,四,4 (four)
588,dwaly,dʷɑlʲ,duwali,ᡩᡠᠸᠠᠯᡳ,588,"类, 伙","category, kind, type; companion"
589,dya,dʲa,dai,ᡩᠠᡳ,589,烟枪,pipe (for smoking)
590,dyedti,dʲədti,dartai,ᡩᠠᡵᡨᠠᡳ,590,瞬时,instantaneously
591,dyelm,dʲəɹm,dalimbi,ᡩᠠᠯᡳᠮᠪᡳ,591,"赶 (马车, 人等)",to drive (cattle); to drive somebody away
592,dyerem,dʲərɯm,darimbi,ᡩᠠᡵᡳᠮᠪᡳ,592,顺便,to stop/drop  by (on the way)
593,dyerVem,dʲərɣɯm,dargiyambi,ᡩᠠᡵᡤᡳᠶᠠᠮᠪᡳ,593,"抡, 扬起, 举起","to yield, to raise"
594,dyoesivem,dʲœɕivɯm,dosibumbi,ᡩᠣᠰᡳᠪᡠᠮᠪᡳ,594,使进,causative form of dyosim (dosimbi)
595,dyof,dʲɔf,dobi,ᡩᠣᠪᡳ,595,狐狸,fox
596,dyolin,dʲɔlin,dulin,ᡩᡠᠯᡳᠨ,596,一半,half
597,dyolnba,dʲɔɹnba,dulimba,ᡩᡠᠯᡳᠮᠪᠠ,597,中间,"middle, center"
598,dyonjim,dʲɔndʒim,donjimbi,ᡩᠣᠨᠵᡳᠮᠪᡳ,598,听,"to hear, to listen, to be heard"
599,dyonjivem,dʲɔndʒivɯm,donjibumbi,ᡩᠣᠨᠵᡳᠪᡠᠮᠪᡳ,599,使听,causative form of dyonjim (= donjimbi)
600,dyorVu,dʲɔrɣu,dorgi,ᡩᠣᡵᡤᡳ,600,里面,"inside, inner"
601,dyosim,dʲɔɕim,dosimbi,ᡩᠣᠰᡳᠮᠪᡳ,601,进,to go in/enter
602,dyosy,dʲɔsʲ,dosi,ᡩᠣᠰᡳ,602,往里,inwards
603,dyover,dʲɔvɯr,dobori,ᡩᠣᠪᠣᡵᡳ,603,晚上,night
604,dyulinkaeny,dʲylinkænʲ,duleke aniya,ᡩᡠᠯᡝᡴᡝ ᠠᠨᡳᠶᠠ,604,去年,last year
605,dyuri,dʲyri,duri,ᡩᡠᡵᡳ,605,摇篮,cradle
606,dyuriven,dʲyrivɯn,deribumbi,ᡩᡝᡵᡳᠪᡠᠮᠪᡳ,606,开始,to begin/start
607,dyurum,dʲyrum,durimbi,ᡩᡠᡵᡳᠮᠪᡳ,607,抢,to rob
608,dyuruvem,dʲyruvɯm,duribumbi,ᡩᡠᡵᡳᠪᡠᠮᠪᡳ,608,被抢,passive form of dyurum (= durimbi)
609,dyuruvem,dʲyruvɯm,deribumbi,ᡩᡝᡵᡳᠪᡠᠮᠪᡳ,609,开始,to begin/start
610,dyuryaN,dʲyrʲaŋ,duranggi,ᡩᡠᡵᠠᠩᡤᡳ,610,浑浊,"muddy, turbid"
611,dyusyxilem,dʲysʲxilɯm,dusihilambi,ᡩᡠᠰᡳᡥᡳᠯᠠᠮᠪᡳ,611,用衣襟兜,to pack something in a pouch made by tucking up one's garment
612,dyusyxum,dʲysʲxum,desihimbi,ᡩᡝᠰᡳᡥᡳᠮᠪᡳ,612,上下抖,to shake up and down
613,dyusyxw,dʲysʲxʷ,dusihi,ᡩᡠᠰᡳᡥᡳ,613,前襟,front lapel
614,ece,ɯʈʂɯ,ecike,ᡝᠴᡳᡴᡝ,614,叔,uncle (father's younger brother)
615,eci,ɯtɕi,erci,ᡝᡵᠴᡳ,615,往这里,in this direction
616,eci,ɯtɕi,erci,ᡝᡵᠴᡳ,616,往这里,this way
617,edelem,ɯdɯlɯm,edelembi,ᡝᡩᡝᠯᡝᠮᠪᡳ,617,"减退, 欠","to lower, to decrease, to lessen; to lack, to owe"
618,edelvem,ɯdɯɹvɯm,edelebumbi,ᡝᡩᡝᠯᡝᠪᡠᠮᠪᡳ,618,使减,causative form of edelem (= edelembi)
619,efejem,ɯfɯɖʐɯm,efujembi,ᡝᡶᡠᠵᡝᠮᠪᡳ,619,坏了,"to be broken, to be damaged"
620,efelem,ɯfɯlɯm,efulembi,ᡝᡶᡠᠯᡝᠮᠪᡳ,620,"弄坏, 弄散",to break
621,efen,ɯfɯn,efen,ᡝᡶᡝᠨ,621,饼子,"bread, pastry, cake"
622,efsem,ɯfsɯm,ebixembi,ᡝᠪᡳᡧᡝᠮᠪᡳ,622,游,to swim
623,efsy,ɯfsʲ,ebsi,ᡝᠪᠰᡳ,623,这边,"this side, here"
624,eicy,ɯjtɕʲ,eici,ᡝᡳᠴᡳ,624,也许,"perhaps, or"
625,Eidem,əidɯm,akdambi,ᠠᡴᡩᠠᠮᠪᡳ,625,信,"to believe, to trust"
626,eiten,ɯjtɯn,eiten ,ᡝᡳᡨᡝᠨ,626,尽数,"every single, each and every, all"
627,eiterem,ɯjtɯrɯm,eiterembi,ᡝᡳᡨᡝᡵᡝᠮᠪᡳ,627,欺诈,to cheat
628,eiterkw,ɯjtɯrkʷ,eitereku,ᡝᡳᡨᡝᡵᡝᡴᡠ,628,惯于欺诈者,someone who cheats
629,eiterXem,ɯjtɯrʂɯm,eiterxembi,ᡝᡳᡨᡝᡵᡧᡝᠮᠪᡳ,629,欺诈,to cheat
630,eiVum,ɯjɣum,eihume,ᡝᡳᡥᡠᠮᡝ,630,雌龟,female turtle
631,EixEn,əixən,eihen,ᡝᡳᡥᡝᠨ,631,毛驴,donkey
632,ejem,ɯɖʐɯm,ejembi,ᡝᠵᡝᠮᠪᡳ,632,记,to remember
633,ejen,ɯɖʐɯn,ejen,ᡝᠵᡝᠨ,633,皇帝,emperor
634,ekcin,ɯktɕin,ekcin,ᡝᡴᠴᡳᠨ,634,岸,"bank, shore"
635,ekim,ɯkim,ekiyembi,ᡝᡴᡳᠶᡝᠮᠪᡳ,635,缺少,"to lack, to be short of "
636,ekinem,ɯkinɯm,ekinembi,ᡝᡴᡳᠨᡝᠮᠪᡳ,636,非常接近,to come very close; to approach closely
637,ekivem,ɯkivɯm,ekiyebumbi,ᡝᡴᡳᠶᡝᠪᡠᠮᠪᡳ,637,使缺少,causative form of ekim (= ekiyembi)
638,eksem,ɯksɯm,ekxembi,ᡝᡴᡧᡝᠮᠪᡳ,638,着急,to worry/feel anxious
639,Elden,əɹdɯn,elden,ᡝᠯᡩᡝᠨ,639,光,light
640,Eldenem,əɹdɯnɯm,eldenembi,ᡝᠯᡩᡝᠨᡝᠮᠪᡳ,640,发光,to shine
641,EldeXem,əɹdɯʂɯm,eldexembi,ᡝᠯᡩᡝᡧᡝᠮᠪᡳ,641,持续发光,to shine consistently
642,elem,ɯlɯm,elembi,ᡝᠯᡝᠮᠪᡳ,642,满足,"to satisfy, to be enough "
643,eli,ɯli,alei,ᠠᠯᡝᡳ,643,更加,"more, even more"
644,elimaN,ɯlimaŋ,alemangga,ᠠᠯᡝᠮᠠᠩᡤᠠ,644,反而,"on the contrary, nevertheless"
645,Elki,əɹki,elkei,ᡝᠯᡴᡝᡳ,645,"几乎, 差一点",almost
646,elVekEn,ɯɹɣɯkən,elheken,ᡝᠯᡥᡝᡴᡝᠨ,646,"平和的, 轻些","peaceful, more lightly"
647,elVeXem,ɯɹɣɯʂɯm,elhexembi,ᡝᠯᡥᡝᡧᡝᠮᠪᡳ,647,安稳的,to be smooth/steady
648,elx,ɯɹx,elhe,ᡝᠯᡥᡝ,648,"心平, 平和","peace, calm"
649,em,ɯm,emu,ᡝᠮᡠ,649,一, 1 (one) 
650,em,ɯm,ume,ᡠᠮᡝ,650,不要,don't ...
651,em durun,ɯm durun,emu durun ,ᡝᠮᡠ ᡩᡠᡵᡠᠨ,651,一样,"identical, exactly like, the same"
652,em erind,ɯm ɯrind,emu erin de,ᡝᠮᡠ ᡝᡵᡳᠨ ᡩᡝ,652,一时,"at the same time, simultaneously"
653,emaji,ɯmadʒi,emu majige,ᡝᠮᡠ ᠮᠠᠵᡳᡤᡝ,653,一点,"a little, somewhat"
654,embad,ɯmbad,emu bade,ᡝᠮᡠ ᠪᠠᡩᡝ,654,"一起, 一个地方","in the same place, together"
655,embicy,ɯmbitɕʲ,embici,ᡝᠮᠪᡳᠴᡳ,655,或许,"perhaps, or"
656,emdan,ɯmdan,emdan,ᡝᠮᡩᠠᠨ,656,一次,"once, one time"
657,emeN,ɯmɯŋ,enggemu,ᡝᠩᡤᡝᠮᡠ,657,马鞍,saddle
658,emgeri,ɯmɡɯri,emgeri,ᡝᠮᡤᡝᡵᡳ,658,已经,already
659,emkEn,ɯmkən,emken,ᡝᠮᡴᡝᠨ,659,一个,one (of something)
660,emsaq,ɯmsaq,emu saka,ᡝᠮᡠ ᠰᠠᡴᠠ,660,只身,"alone, all by oneself"
661,emtaN Gosin,ɯmtaŋ ɢɔɕin,emu tanggv gosin,ᡝᠮᡠ ᡨᠠᠩᡤᡡ ᡤᠣᠰᡳᠨ,661,一百三十,130 (one hundred thirty)
662,emtaN jEmu,ɯmtaŋ ɖʐəmu,tanggv juwan emu ,ᡨᠠᠩᡤᡡ ᠵᡠᠸᠠᠨ ᡝᠮᡠ,662,一百一十一,111 (one hundred eleven)
663,emtaN jEn ju,ɯmtaŋ ɖʐən ɖʐu,emu tanggv juwan juwe,ᡝᠮᡠ ᡨᠠᠩᡤᡡ ᠵᡠᠸᠠᠨ ᠵᡠᠸᡝ,663,一百一十二,112 (one hundred twelve)
664,emtaN orin,ɯmtaŋ ɔrin,emu tanggv orin,ᡝᠮᡠ ᡨᠠᠩᡤᡡ ᠣᡵᡳᠨ,664,一百二十,120 (one hundred twenty)
665,emtE ,ɯmtə,emte,ᡝᠮᡨᡝ,665,各一个,one each
666,emtely,ɯmtɯlʲ,emteli,ᡝᠮᡨᡝᠯᡳ,666,只一个,"sole, single, alone"
667,emudw,ɯmudʷ,emu udu,ᡝᠮᡠ ᡠᡩᡠ,667,一些个,"a few, some"
668,emVi,ɯmɣi,emgi,ᡝᠮᡤᡳ,668,一起,"together, jointly, with"
669,emVun,ɯmɣun,emhun,ᡝᠮᡥᡠᠨ,669,单身,"alone, single"
670,emx,ɯmx,emhe,ᡝᠮᡥᡝ,670,"婆婆, 丈母娘",mother-in-law
671,en,ɯn,en ,ᡝᠨ,671,嗯,(interjection expressing agreement)
672,encxen,ɯnʈʂxɯn,encehen,ᡝᠨᠴᡝᡥᡝᠨ,672,能耐,"ability, capability"
673,encxen,ɯnʈʂxɯn,encehen,ᡝᠨᠴᡝᡥᡝᠨ,673,母狗,female dog
674,endi,ɯndi,unde,ᡠᠨᡩᡝ,674,还没,not yet
675,endk,ɯndk,enteke,ᡝᠨᡨᡝᡴᡝ,675,如此这般,"like this, in this manner"
676,Endury,əndurʲ,enduri,ᡝᠨᡩᡠᡵᡳ,676,神,"god, deity"
677,eNecem,ɯŋɯʈʂɯm,enggecembi,ᡝᠩᡤᡝᠴᡝᠮᠪᡳ,677,超越 (一味的动作),to surpass (in one instance)
678,eNelm,ɯŋɯɹm,enggelembi,ᡝᠩᡤᡝᠯᡝᠮᠪᡳ,678,"超越, 凸出, 涨, 前倾, 俯瞰","to surpass, to exceed; to stick out; to increase; to lean forward; to overlook "
679,EneN,ənɯŋ,enenggi,ᡝᠨᡝᠩᡤᡳ,679,今天,today
680,eNeXem,ɯŋɯʂɯm,enggexembi,ᡝᠩᡤᡝᡧᡝᠮᠪᡳ,680,超越 (不间断重复动作),to surpass repeatedly
681,eni,ɯni,gufu ni,ᡤᡠᡶᡠ ᠨᡳ,681,母亲,mother
682,eny,ɯnʲ,ilaci age,ᡳᠯᠠᠴᡳ ᠠᡤᡝ,682,母亲,mother
683,er,ɯr,ere,ᡝᡵᡝ,683,这个,this; this one
684,er medan,ɯr mɯdan,ere mudan,ᡝᡵᡝ ᠮᡠᡩᠠᠨ,684,这次,this time
685,erci,ɯrtɕi,erci,ᡝᡵᠴᡳ,685,往这里,in this direction
686,erd ,ɯrd,erde,ᡝᡵᡩᡝ,686,提前之早,early
687,ErdE,ərdə,erde,ᡝᡵᡩᡝ,687,"早晨, 早",early morning
688,erdelem,ɯrdɯlɯm,erdelembi,ᡝᡵᡩᡝᠯᡝᠮᠪᡳ,688,趁早,to do early
689,erdken,ɯrdkɯn,erdeken,ᡝᡵᡩᡝᡴᡝᠨ,689,早一点,earlier
690,erem,ɯrɯm,erembi,ᡝᡵᡝᠮᠪᡳ,690,希望,to hope
691,erin,ɯrin,erin,ᡝᡵᡳᠨ,691,时间,time 
692,erkedem,ɯrkɯdɯm,erkecembi,ᡝᡵᡴᡝᠴᡝᠮᠪᡳ,692,使性子,to throw a fit
693,erkem,ɯrkɯm,erkembi,ᡝᡵᡴᡝᠮᠪᡳ,693,使性子,to throw a fit
694,ersem,ɯrsɯm,erxembi,ᡝᡵᡧᡝᠮᠪᡳ,694,服侍,"to attend, to wait upon, to serve"
695,Ersun,ərsun,ersun,ᡝᡵᠰᡠᠨ,695,"丑, 厉害","ugly, terrible"
696,erVeCem,ɯrɣɯCɯm,ergecembi,ᡝᡵᡤᡝᠴᡝᠮᠪᡳ,696,休息着,to rest briefly
697,erVelm,ɯrɣɯɹm,ergelembi,ᡝᡵᡤᡝᠯᡝᠮᠪᡳ,697,逼迫,"to force, to compel"
698,erVem,ɯrɣɯm,ergembi,ᡝᡵᡤᡝᠮᠪᡳ,698,休息,to rest
699,erVen,ɯrɣɯn,ergen,ᡝᡵᡤᡝᠨ,699,"元气, 生命, 气息","strength, vigor; life; breath"
700,erVeXem,ɯrɣɯʂɯm,ergexembi,ᡝᡵᡤᡝᡧᡝᠮᠪᡳ,700,休憩,"to rest briefly, to take a break"
701,erVi,ɯrɣi,ergi,ᡝᡵᡤᡳ,701,"侧, 面",side
702,erye,ɯrʲə,ara,ᠠᡵᠠ,702,"哎呀, 疼啊","(interjection of surprise or pain) ""aiya"""
703,es,ɯs,ese,ᡝᠰᡝ,703,这些,these
704,esx,ɯsx,esihe,ᡝᠰᡳᡥᡝ,704,鳞,(fish) scale
705,esxenem,ɯsxɯnɯm,esukiyembi,ᡝᠰᡠᡴᡳᠶᡝᠮᠪᡳ,705,呵斥,to scold/berate
706,etem,ɯtɯm,etembi,ᡝᡨᡝᠮᠪᡳ,706,赢,to win
707,eteNilm,ɯtɯŋiɹm,etenggilembi,ᡝᡨᡝᠩᡤᡳᠯᡝᠮᠪᡳ,707,逞强,to show off strength
708,etevem,ɯtɯvɯm,etebumbi,ᡝᡨᡝᠪᡠᠮᠪᡳ,708,败,"(causative form of etem (= etembi)) to be defeated, to lose"
709,etwxun,ɯtʷxun,etuhun,ᡝᡨᡠᡥᡠᠨ,709,强,"strong, powerful"
710,eva,ɯva,uba,ᡠᠪᠠ,710,这里,this place
711,eva,ɯva,uba,ᡠᠪᠠ,711,这里,here
712,eVecem,ɯɣɯʈʂɯm,ehecembi,ᡝᡥᡝᠴᡝᠮᠪᡳ,712,"恶言, 恶行",to say mischievous things; to act in an evil manner
713,eveji,ɯvɯdʒi,,,,阿保机(古代人物)引申为恶鬼,Abaoji (ancient figure); extended to mean evil spirit
714,eVelem,ɯɣɯlɯm,ehelembi,ᡝᡥᡝᠯᡝᠮᠪᡳ,714,施恶,to act in an evil manner
715,eVeliN,ɯɣɯliŋ,ehelinggv,ᡝᡥᡝᠯᡳᠩᡤᡡ,715,恶的,evil
716,eVerem,ɯɣɯrɯm,eherembi,ᡝᡥᡝᡵᡝᠮᠪᡳ,716,恶化,to become evil
717,everem,ɯvɯrɯm,eberembi,ᡝᠪᡝᡵᡝᠮᠪᡳ,717,减退,"to go down, to decline"
718,ex,ɯx,ehe,ᡝᡥᡝ,718,恶,"evil, wicked"
719,ex jaq cicim,ɯx ɖʐaq tɕitɕim,ehe jaka tucimbi,ᡝᡥᡝ ᠵᠠᡴᠠ ᡨᡠᠴᡳᠮᠪᡳ,719,排毒,to get rid of poison
720,eyi,ɯji,dai,ᡩᠠᡳ,720,祖父,paternal grandfather
721,eyim,ɯjim,eyembi,ᡝᠶᡝᠮᠪᡳ,721,流,to flow
722,eyim,ɯjim,eyembi,ᡝᠶᡝᠮᠪᡳ,722,水流,(of water) to flow
723,eyin,ɯjin,eyen,ᡝᠶᡝᠨ,723,流域,river basin; valley
724,eyivem,ɯjivɯm,eyebumbi,ᡝᠶᡝᠪᡠᠮᠪᡳ,724,使流,causative form of eyim (= eyembi)
725,eyu nun,ɯjy nun,eyun nun,ᡝᠶᡠᠨ ᠨᡠᠨ,725,姐妹,sister
726,fa,fa,fa,ᡶᠠ,726,窗户,window
727,faam,faam,fambi,ᡶᠠᠮᠪᡳ,727,"迷失, 干涸",to get lost; to dry up
728,facem,faʈʂɯm,facambi,ᡶᠠᠴᠠᠮᠪᡳ,728,"凌乱, 散乱, 解散","to be messy, to be in disarray; to disperse, to scatter"
729,facevem,faʈʂɯvɯm,facabumbi,ᡶᠠᠴᠠᠪᡠᠮᠪᡳ,729,使凌乱,causative form of facem (= facambi)
730,facq,faʈʂq,fajukv,ᡶᠠᠵᡠᡴᡡ,730,屁股,buttocks; bottom; butt
731,facwhun,faʈʂʷχun,facuhvn,ᡶᠠᠴᡠᡥᡡᠨ,731,动乱,"turmoil, upheaval, unrest"
732,facwhurum,faʈʂʷχurum,facuhvrambi,ᡶᠠᠴᡠᡥᡡᡵᠠᠮᠪᡳ,732,动乱了,to fall into disorder
733,fad,fad,fadu,ᡶᠠᡩᡠ,733,腰袋,"waist bag, pouch"
734,faen,fæn,fiyan,ᡶᡳᠶᠠᠨ,734,色,"color, complexion"
735,fafuN,fafuŋ,fafungga,ᡶᠠᡶᡠᠩᡤᠠ,735,严厉,"strict, severe"
736,fafun ajig,fafun adʒiɡ,fafun ajige,ᡶᠠᡶᡠᠨ ᠠᠵᡳᡤᡝ,736,管得松,lightly supervised
737,fafun ambu,fafun ambu,fafun amba,ᡶᠠᡶᡠᠨ ᠠᠮᠪᠠ,737,严厉,"strict, severe"
738,fah,faχ,faha,ᡶᠠᡥᠠ,738,粒,grain
739,fahsy,faχsʲ,faksi,ᡶᠠᡴᠰᡳ,739,智巧,"skillful, crafty"
740,faidem,fajdɯm,faidambi,ᡶᠠᡳᡩᠠᠮᠪᡳ,740,站队,to line up
741,faiden,fajdɯn,faidan,ᡶᠠᡳᡩᠠᠨ,741,队,"line, row, file"
742,faidevem,fajdɯvɯm,faidabumbi,ᡶᠠᡳᡩᠠᠪᡠᠮᠪᡳ,742,使站队,causative form of faidevem (= faidabumbi)
743,fajen,faɖʐɯn,fajan,ᡶᠠᠵᠠᠨ,743,走兽粪便,dung (from animals)
744*,fajen javem,faɖʐɯn ɖʐavɯm,fajan jafambi,ᡶᠠᠵᠠᠨ ᠵᠠᡶᠠᠮᠪᡳ,744*,便秘,constipation
745,fajerRen,faɖʐɯrʁɯn,fajiran,ᡶᠠᠵᡳᡵᠠᠨ,745,墙,wall
746,falem,falɯm,falambi,ᡶᠠᠯᠠᠮᠪᡳ,746,发面,to make bread; (of yeast) to rise
747,falem,falɯm,falambi,ᡶᠠᠯᠠᠮᠪᡳ,747,罚,to punish
748,falen,falɯn,falan,ᡶᠠᠯᠠᠨ,748,"屋地面, 场",floor
749,falevem,falɯvɯm,falabumbi,ᡶᠠᠯᠠᠪᡠᠮᠪᡳ,749,使罚,causative/passive form of falem (= falambi)
750,fancal,fanʈʂaɹ,fancal,ᡶᠠᠨᠴᠠᠯ,750,风筝,kite
751,fancem,fanʈʂɯm,fancambi,ᡶᠠᠨᠴᠠᠮᠪᡳ,751,生气,to become angry
752,fancuXwqw,fanʈʂuʂʷqʷ,fancacuka,ᡶᠠᠨᠴᠠᠴᡠᡴᠠ,752,令人生气的,anger-inducing
753,faqar,faqar,fakvri,ᡶᠠᡴᡡᡵᡳ,753,裤子,"trousers, pants"
754,faqcem,faqʈʂɯm,fakcambi,ᡶᠠᡴᠴᠠᠮᠪᡳ,754,离别,to part; to separate
755,faqselm,faqsɯɹm,faksalambi,ᡶᠠᡴᠰᠠᠯᠠᠮᠪᡳ,755,使分离,causative form of faqcem (= fakcambi)
756,far ,far,fara,ᡶᠠᡵᠠ,756,车辕,shaft
757,farfevem,farfɯvɯm,farfabumbi,ᡶᠠᡵᡶᠠᠪᡠᠮᠪᡳ,757,迷失,to get lost
758,farRun,farʁun,farhvn,ᡶᠠᡵᡥᡡᠨ,758,(天) 黑,(of the sky) dark
759,farsy,farsʲ,farsi,ᡶᠠᡵᠰᡳ,759,块,piece
760,faRun,faʁun,fahvn,ᡶᠠᡥᡡᠨ,760,"肝, 胆子","liver, courage, nerve"
761,fatem,fatɯm,fatambi,ᡶᠠᡨᠠᠮᠪᡳ,761,"摘, 掐","to pick, to pluck; to pinch"
762,fath,fatχ,fatha,ᡶᠠᡨᡥᠠ,762,蹄子,hoof
763,favun,favun,fafun,ᡶᠠᡶᡠᠨ,763,命令,"order, command"
764,faXq,faʂq,fajukv,ᡶᠠᠵᡠᡴᡡ,764,肛门,"buttocks, anus"
765*,faXqei filcin,faʂqɯj fiɹtɕin,fajukv i fulcin,ᡶᠠᠵᡠᡴᡡ ᡳ ᡶᡠᠯᠴᡳᠨ,765*,臀颊,buttcheeks 
766,fayiN,fajiŋ,fayangga,ᡶᠠᠶᠠᠩᡤᠠ,766,魂魄,soul
767,fayivem,fajivɯm,fayabumbi,ᡶᠠᠶᠠᠪᡠᠮᠪᡳ,767,花费,to spend
768,fE ,fə,fe ,ᡶᡝ,768,旧,"old, aged"
769,fedashun,fɯdasχun,fudasihvn,ᡶᡠᡩᠠᠰᡳᡥᡡᠨ,769,反的,reversed
770,fedem,fɯdɯm,fudembi,ᡶᡠᡩᡝᠮᠪᡳ,770,送客,to see/send off
771,fedeXem,fɯdɯʂɯm,fudexembi,ᡶᡠᡩᡝᡧᡝᠮᠪᡳ,771,送客,"(of a visitor) to send off, to see off"
772,fef,fɯf,fefe,ᡶᡝᡶᡝ,772,女性阴部,vulva
773,fef gyam,fɯf ɡʲam,fefe gaimbi,ᡶᡝᡶᡝ ᡤᠠᡳᠮᠪᡳ,773,性交,to have sexual intercourse
774,fei,fɯj,feye,ᡶᡝᠶᡝ,774,伤,wound
775,fei,fɯj,feye,ᡶᡝᠶᡝ,775,"巢, 疮",nest; wound
776,fejerVi,fɯɖʐɯrɣi,fejergi,ᡶᡝᠵᡝᡵᡤᡳ,776,下面,"underneath, below"
777,fejisy,fɯdʒisʲ,fejergici,ᡶᡝᠵᡝᡵᡤᡳᠴᡳ,777,往下,downward-facing
778,feksim,fɯkɕim,feksimbi,ᡶᡝᡴᠰᡳᠮᠪᡳ,778,跑,to run
779,fel,fɯɹ,fele,ᡶᡝᠯᡝ,779,份,"part, fraction"
780,felaqw,fɯlaqʷ,fele akv,ᡶᡝᠯᡝ ᠠᡴᡡ,780,非常的,very much
781,felgaen,fɯɹɡæn,fulgiyan,ᡶᡠᠯᡤᡳᠶᠠᠨ,781,红,red
782,felgyan mersa,fɯɹɡʲan mɯrsa,fulgiyan mursa,ᡶᡠᠯᡤᡳᠶᠠᠨ ᠮᡠᡵᠰᠠ,782,红萝卜,carrot
783,femen,fɯmɯn,femen,ᡶᡝᠮᡝᠨ,783,嘴唇,lip
784,fencem,fɯnʈʂɯm,funcembi,ᡶᡠᠨᠴᡝᠮᠪᡳ,784,剩余,to be left over
785,fencevem,fɯnʈʂɯvɯm,funcebumbi,ᡶᡠᠨᠴᡝᠪᡠᠮᠪᡳ,785,使剩余,causative form of fencem (= funcembi)
786,feNnem,fɯŋnɯm,fungnembi,ᡶᡠᠩᠨᡝᠮᠪᡳ,786,册封,to confer a title
787,feNnilm,fɯŋniɹm,feniyelembi,ᡶᡝᠨᡳᠶᡝᠯᡝᠮᠪᡳ,787,集群,"to crowd together, to form a group/flock"
788,feNnilm,fɯŋniɹm,feniyembi,ᡶᡝᠨᡳᠶᡝᠮᠪᡳ,788,打捆,to form a bundle/bunch
789,feNnin,fɯŋnin,feniyen,ᡶᡝᠨᡳᠶᡝᠨ,789,捆,bundle
790,feNnin,fɯŋnin,feniyen,ᡶᡝᠨᡳᠶᡝᠨ,790,一捆,"a group of animals (flock, swarm, drove, herd, crowd)"
791,fenpi,fɯnpʰi,fempi,ᡶᡝᠮᡦᡳ,791,封皮,"envelope, seal"
792,fenpilm,fɯnpʰiɹm,fenpilembi,ᡶᡝᠨᡦᡳᠯᡝᠮᠪᡳ,792,封皮,to seal
793,feNs,fɯŋs,fengse,ᡶᡝᠩᠰᡝ,793,疯子,crazy person
794,feNsedem,fɯŋsɯdɯm,fengsedembi,ᡶᡝᠩᠰᡝᡩᡝᠮᠪᡳ,794,发疯,to go crazy
795,feNsk,fɯŋsk,fengseku,ᡶᡝᠩᠰᡝᡴᡠ,795,盆,"basin, washbasin"
