Entry,Spoken,IPA,Written,Script (Text),Script (Image),Mandarin,English
56,aji deVeme,adʒi dɯɣɯmɯ,aji deheme,ᠠᠵᡳ ᡩᡝᡥᡝᠮᡝ,56,小姨妈,mother's younger sister
57,aji ece,adʒi ɯʈʂɯ,aji ecike,ᠠᠵᡳ ᡝᠴᡳᡴᡝ,57,小叔,husband's younger brother
58,aji eni,adʒi ɯni,ajige eniye,ᠠᠵᡳᡤᡝ ᡝᠨᡳᠶᡝ,58,婶子,father's younger brother's wife
59,aji eni,adʒi ɯni,ajige eniye,ᠠᠵᡳᡤᡝ ᡝᠨᡳᠶᡝ,59,婶子,husband's younger brother's wife
60,aji gufu,adʒi ɡufu,ajige gufu,ᠠᠵᡳᡤᡝ ᡤᡠᡶᡠ,60,小姑父,father's younger sister's husband
61,aji guVu,adʒi ɡuɣu,ajige gugu,ᠠᠵᡳᡤᡝ ᡤᡠᡤᡠ,61,小姑,father's younger sister
62,aji kevel,adʒi kɯvɯɹ,ajige hefeli,ᠠᠵᡳᡤᡝ ᡥᡝᡶᡝᠯᡳ,62,小腹,"underbelly, lower abdomen "
63,aji laNtu,adʒi laŋtu,,,,小榔头,hammer
64,aji mulan,adʒi mulan,ajige mulan,ᠠᠵᡳᡤᡝ ᠮᡠᠯᠠᠨ,64,小板凳,stool
65,aji naqce,adʒi naqʈʂɯ,ajige nakcu,ᠠᠵᡳᡤᡝ ᠨᠠᡴᠴᡠ,65,小舅,mother's elder brother
66,aji xenaqce,adʒi xɯnaqʈʂɯ,ajige hehe nakcu,ᠠᠵᡳᡤᡝ ᡥᡝᡥᡝ ᠨᠠᡴᠴᡠ,66,小舅母,mother's younger brother's wife
67,aji yileN,adʒi jilɯŋ,ajige ilenggu,ᠠᠵᡳᡤᡝ ᡳᠯᡝᠩᡤᡠ,67,小舌,uvula
68,ajig,adʒiɡ,ajige,ᠠᠵᡳᡤᡝ,68,小,"little, small, young"
69,ajigen,adʒiɡɯn,fiyoose,ᡶᡳᠶᠣᠣᠰᡝ,69,小的,"little, small, young"
70,ajigen,adʒiɡɯn,ajigengge,ᠠᠵᡳᡤᡝᠩᡤᡝ,70,很小,very small
71,ajyage,aɖʐʲaɡɯ,ajige age,ᠠᠵᡳᡤᡝ ᠠᡤᡝ,71,小哥,immediately senior brother
72,ajyame,aɖʐʲamɯ,ajige ama,ᠠᠵᡳᡤᡝ ᠠᠮᠠ,72,叔父,father's younger brother
73,albatw,aɹbatʷ,albatu,ᠠᠯᠪᠠᡨᡠ,73,粗鲁,"rude, coarse"
74,aldasy becem,aɹdasʲ bɯʈʂɯm,aldasi bucembi,ᠠᠯᡩᠠᠰᡳ ᠪᡠᠴᡝᠮᠪᡳ,74,半生死,"to die early, to die in the middle of one's life"
75,aldevem,aɹdɯvɯm,aldabumbi,ᠠᠯᡩᠠᠪᡠᠮᠪᡳ,75,"脱手, 失手落",(of goods) to sell/dispose of; to let fall; to let loose
76,alduN,aɹduŋ,aldungga,ᠠᠯᡩᡠᠩᡤᠠ,76,奇特的,"peculiar, unusual, queer"
77,alejen bo,alɯɖʐɯn bɔ,alajen boo,ᠠᠯᠠᠵᡝᠨ ᠪᠣᠣ,77,"密室, 别栋","secret room, separate dwelling"
78,alem,alɯm,alambi,ᠠᠯᠠᠮᠪᡳ,78,告知,"to tell, inform"
79,alh,aɹχ,alha,ᠠᠯᡥᠠ,79,花色,multi-colored
80,alim,alim,aliyambi,ᠠᠯᡳᠶᠠᠮᠪᡳ,80,等待,to wait
81,alim,alim,alimbi,ᠠᠯᡳᠮᠪᡳ,81,接受,"to receive, to accept"
82,alin,alin,alin,ᠠᠯᡳᠨ,82,山,"mountain, hill"
83,aliN,aliŋ,adalingge,ᠠᡩᠠᠯᡳᠩᡤᡝ,83,相同的,"identical, same"
84,alivem,alivɯm,alibumbi,ᠠᠯᡳᠪᡠᠮᠪᡳ,84,"献, 送","(causative form of alim (= alimbi)), to present; to offer"
85,aliXem,aliʂɯm,alixambi,ᠠᠯᡳᡧᠠᠮᠪᡳ,85,"悔; 烦闷, 寂寞",to regret; to feel depressed; to be lonely
86,aljem,aɹɖʐɯm,aljambi,ᠠᠯᠵᠠᠮᠪᡳ,86,分离,to separate
87,aljevem,aɹɖʐɯvɯm,aljabumbi,ᠠᠯᠵᠠᠪᡠᠮᠪᡳ,87,使分离,causative form of aljem (= aljambi)
88,alqem,aɹqɯm,alkvmbi,ᠠᠯᡴᡡᠮᠪᡳ,88,跨步,to take a step across
89,alqen,aɹqɯn,alkvn,ᠠᠯᡴᡡᠨ,89,步伐,pace/step
90,alRudem,aɹʁudɯm,alhvdambi,ᠠᠯᡥᡡᡩᠠᠮᠪᡳ,90,效仿,to imitate/mimic
91,alRudun,aɹʁudun,alhvdan,ᠠᠯᡥᡡᡩᠠᠨ,91,样板,imitation/mimicry
92,alven,aɹvɯn,alban,ᠠᠯᠪᠠᠨ,92,公差,public service
93,am,am,amba,ᠠᠮᠪᠠ,93,大,"big, large, great"
94,am,am,ama,ᠠᠮᠠ,94,父亲,father
95,am betx,am bɯtx,amba bethe,ᠠᠮᠪᠠ ᠪᡝᡨᡥᡝ,95,大脚,thigh
96,am deVame,am dɯɣamɯ,,,,大姨夫,mother's elder sister's husband
97,am deVeme,am dɯɣɯmɯ,amba deheme,ᠠᠮᠪᠠ ᡩᡝᡥᡝᠮᡝ,97,大姨妈,mother's elder sister
98,am gufu,am ɡufu,amba gufu,ᠠᠮᠪᠠ ᡤᡠᡶᡠ,98,大姑父,father's elder sister's husband
99,am guVu,am ɡuɣu,amba gugu,ᠠᠮᠪᠠ ᡤᡠᡤᡠ,99,大姑,father's elder sister
100,am murw,am murʷ,amba muru,ᠠᠮᠪᠠ ᠮᡠᡵᡠ,100,大概,"about, approximately"
101,am naqce,am naqʈʂɯ,amba nakcu,ᠠᠮᠪᠠ ᠨᠠᡴᠴᡠ,101,大舅,mother's elder brother
102,am xenaqce,am xɯnaqʈʂɯ,amba hehe nakcu,ᠠᠮᠪᠠ ᡥᡝᡥᡝ ᠨᠠᡴᠴᡠ,102,大舅母,mother's elder brother's wife
