Entry,Spoken,IPA,Written,Script Version,Script,Mandarin,English
577,duNa,duŋa,dungga,ᡩ᠋ᡠ᠋ᠩᡤᠠ,,西瓜,watermelon
578,duqa,duqa,duka,ᡩ᠋ᡠ᠋ᡴᠠ,,院门,gate
579,duRa,duʁa,duha,ᡩ᠋ᡠ᠋ᡥᠠ,,肠子,"intestines, guts"
580,durun,durun,durun,ᡩ᠋ᡠ᠋ᡵᡠᠨ,,"样子, 形式","appearance, form/shape"
581,durVo,durɣɔ,derhuwe,ᡩ᠋ᡝ᠋ᡵᡥᡠᠸᡝ,,苍蝇,housefly
582,dutw,dutʷ,dutu,ᡩ᠋ᡠ᠋ᡨᡠ᠋,,聋,(of a person) hard of hearing
583,duu,duu,deo,ᡩ᠋ᡝ᠋ᠣ,,弟弟,younger brother
584,duu orun,duu ɔrun,deo urun,ᡩ᠋ᡝ᠋ᠣ ᡠᡵᡠᠨ,,弟妹,younger brother's wife
585,duv,duv,dube,ᡩ᠋ᡠ᠋ᠪᡝ,,尖,"tip, point, end"
586,duvuN,duvuŋ,dubengge,ᡩ᠋ᡠ᠋ᠪᡝᠩᡤᡝ,,有尖的,pointed
587,duyin,dujin,duin,ᡩ᠋ᡠ᠋ᡳ᠌ᠨ,,四,4 (four)
588,dwaly,dʷɑlʲ,duwali,ᡩ᠋ᡠ᠋ᠸᠠᠯᡳ,,"类, 伙","category, kind, type; companion"
589,dya,dʲa,dai,ᡩᠠᡳ,,烟枪,pipe (for smoking)
590,dyedti,dʲədti,dartai,ᡩᠠᡵᡨ᠋ᠠᡳ,,瞬时,instantaneously
591,dyelm,dʲəɹm,dalimbi,ᡩᠠᠯᡳᠮᠪᡳ,,"赶 (马车, 人等)",to drive (cattle); to drive somebody away
592,dyerem,dʲərɯm,darimbi,ᡩᠠᡵᡳᠮᠪᡳ,,顺便,to stop/drop  by (on the way)
593,dyerVem,dʲərɣɯm,dargiyambi,ᡩᠠᡵᡤᡳᠶᠠᠮᠪᡳ,,"抡, 扬起, 举起","to yield, to raise"
594,dyoesivem,dʲœɕivɯm,dosibumbi,ᡩᠣᠰᡳᠪᡠᠮᠪᡳ,,使进,causative form of dyosim (dosimbi)
595,dyof,dʲɔf,dobi,ᡩᠣᠪᡳ,,狐狸,fox
596,dyolin,dʲɔlin,dulin,ᡩ᠋ᡠ᠋ᠯᡳᠨ,,一半,half
597,dyolnba,dʲɔɹnba,dulimba,ᡩ᠋ᡠ᠋ᠯᡳᠮᠪᠠ,,中间,"middle, center"
598,dyonjim,dʲɔndʒim,donjimbi,ᡩᠣᠨᠵᡳᠮᠪᡳ,,听,"to hear, to listen, to be heard"
599,dyonjivem,dʲɔndʒivɯm,donjibumbi,ᡩᠣᠨᠵᡳᠪᡠᠮᠪᡳ,,使听,causative form of dyonjim (= donjimbi)
600,dyorVu,dʲɔrɣu,dorgi,ᡩᠣᡵᡤᡳ,,里面,"inside, inner"
601,dyosim,dʲɔɕim,dosimbi,ᡩᠣᠰᡳᠮᠪᡳ,,进,to go in/enter
602,dyosy,dʲɔsʲ,dosi,ᡩᠣᠰᡳ,,往里,inwards
603,dyover,dʲɔvɯr,dobori,ᡩᠣᠪᠣᡵᡳ,,晚上,night
604,dyulinkaeny,dʲylinkænʲ,duleke aniya,ᡩ᠋ᡠ᠋ᠯᡝᡴᡝ ᠠᠨᡳᠶᠠ,,去年,last year
605,dyuri,dʲyri,duri,ᡩ᠋ᡠ᠋ᡵᡳ,,摇篮,cradle
606,dyuriven,dʲyrivɯn,deribumbi,ᡩ᠋ᡝ᠋ᡵᡳᠪᡠᠮᠪᡳ,,开始,to begin/start
607,dyurum,dʲyrum,durimbi,ᡩ᠋ᡠ᠋ᡵᡳᠮᠪᡳ,,抢,to rob
608,dyuruvem,dʲyruvɯm,duribumbi,ᡩ᠋ᡠ᠋ᡵᡳᠪᡠᠮᠪᡳ,,被抢,passive form of dyurum (= durimbi)
609,dyuruvem,dʲyruvɯm,deribumbi,ᡩ᠋ᡝ᠋ᡵᡳᠪᡠᠮᠪᡳ,,开始,to begin/start
610,dyuryaN,dʲyrʲaŋ,duranggi,ᡩ᠋ᡠ᠋ᡵᠠᠩᡤᡳ,,浑浊,"muddy, turbid"
611,dyusyxilem,dʲysʲxilɯm,dusihilambi,ᡩ᠋ᡠ᠋ᠰᡳᡥᡳᠯᠠᠮᠪᡳ,,用衣襟兜,to pack something in a pouch made by tucking up one's garment
612,dyusyxum,dʲysʲxum,desihimbi,ᡩ᠋ᡝ᠋ᠰᡳᡥᡳᠮᠪᡳ,,上下抖,to shake up and down
613,dyusyxw,dʲysʲxʷ,dusihi,ᡩ᠋ᡠ᠋ᠰᡳᡥᡳ,,前襟,front lapel
614,ece,ɯʈʂɯ,ecike,ᡝᠴᡳᡴᡝ,,叔,uncle (father's younger brother)
615,eci,ɯtɕi,erci,ᡝᡵᠴᡳ,,往这里,in this direction
616,eci,ɯtɕi,erci,ᡝᡵᠴᡳ,,往这里,this way
617,edelem,ɯdɯlɯm,edelembi,ᡝᡩᡝ᠋ᠯᡝᠮᠪᡳ,,"减退, 欠","to lower, to decrease, to lessen; to lack, to owe"
618,edelvem,ɯdɯɹvɯm,edelebumbi,ᡝᡩᡝ᠋ᠯᡝᠪᡠᠮᠪᡳ,,使减,causative form of edelem (= edelembi)
619,efejem,ɯfɯɖʐɯm,efujembi,ᡝᡶᡠᠵᡝᠮᠪᡳ,,坏了,"to be broken, to be damaged"
620,efelem,ɯfɯlɯm,efulembi,ᡝᡶᡠᠯᡝᠮᠪᡳ,,"弄坏, 弄散",to break
621,efen,ɯfɯn,efen,ᡝᡶᡝᠨ,,饼子,"bread, pastry, cake"
622,efsem,ɯfsɯm,ebixembi,ᡝᠪᡳᡧᡝᠮᠪᡳ,,游,to swim
623,efsy,ɯfsʲ,ebsi,ᡝᠪᠰᡳ,,这边,"this side, here"
624,eicy,ɯjtɕʲ,eici,ᡝᡳ᠌ᠴᡳ,,也许,"perhaps, or"
625,Eidem,əidɯm,akdambi,ᠠᡴᡩ᠋ᠠᠮᠪᡳ,,信,"to believe, to trust"
626,eiten,ɯjtɯn,eiten ,ᡝᡳ᠌ᡨᡝ᠋ᠨ,,尽数,"every single, each and every, all"
627,eiterem,ɯjtɯrɯm,eiterembi,ᡝᡳ᠌ᡨᡝ᠋ᡵᡝᠮᠪᡳ,,欺诈,to cheat
628,eiterkw,ɯjtɯrkʷ,eitereku,ᡝᡳ᠌ᡨᡝ᠋ᡵᡝᡴᡠ,,惯于欺诈者,someone who cheats
629,eiterXem,ɯjtɯrʂɯm,eiterxembi,ᡝᡳ᠌ᡨᡝ᠋ᡵᡧᡝᠮᠪᡳ,,欺诈,to cheat
630,eiVum,ɯjɣum,eihume,ᡝᡳ᠌ᡥᡠᠮᡝ,,雌龟,female turtle
631,EixEn,əixən,eihen,ᡝᡳ᠌ᡥᡝᠨ,,毛驴,donkey
632,ejem,ɯɖʐɯm,ejembi,ᡝᠵᡝᠮᠪᡳ,,记,to remember
633,ejen,ɯɖʐɯn,ejen,ᡝᠵᡝᠨ,,皇帝,emperor
634,ekcin,ɯktɕin,ekcin,ᡝᡴᠴᡳᠨ,,岸,"bank, shore"
635,ekim,ɯkim,ekiyembi,ᡝᡴᡳᠶᡝᠮᠪᡳ,,缺少,"to lack, to be short of "
636,ekinem,ɯkinɯm,ekinembi,ᡝᡴᡳᠨᡝᠮᠪᡳ,,非常接近,to come very close; to approach closely
637,ekivem,ɯkivɯm,ekiyebumbi,ᡝᡴᡳᠶᡝᠪᡠᠮᠪᡳ,,使缺少,causative form of ekim (= ekiyembi)
638,eksem,ɯksɯm,ekxembi,ᡝᡴᡧᡝᠮᠪᡳ,,着急,to worry/feel anxious
639,Elden,əɹdɯn,elden,ᡝᠯᡩᡝ᠋ᠨ,,光,light
640,Eldenem,əɹdɯnɯm,eldenembi,ᡝᠯᡩᡝ᠋ᠨᡝᠮᠪᡳ,,发光,to shine
641,EldeXem,əɹdɯʂɯm,eldexembi,ᡝᠯᡩᡝ᠋ᡧᡝᠮᠪᡳ,,持续发光,to shine consistently
642,elem,ɯlɯm,elembi,ᡝᠯᡝᠮᠪᡳ,,满足,"to satisfy, to be enough "
643,eli,ɯli,alei,ᠠᠯᡝᡳ,,更加,"more, even more"
644,elimaN,ɯlimaŋ,alemangga,ᠠᠯᡝᠮᠠᠩᡤᠠ,,反而,"on the contrary, nevertheless"
645,Elki,əɹki,elkei,ᡝᠯᡴᡝᡳ,,"几乎, 差一点",almost
646,elVekEn,ɯɹɣɯkən,elheken,ᡝᠯᡥᡝᡴᡝᠨ,,"平和的, 轻些","peaceful, more lightly"
647,elVeXem,ɯɹɣɯʂɯm,elhexembi,ᡝᠯᡥᡝᡧᡝᠮᠪᡳ,,安稳的,to be smooth/steady
648,elx,ɯɹx,elhe,ᡝᠯᡥᡝ,,"心平, 平和","peace, calm"
649,em,ɯm,emu,ᡝᠮᡠ,,一, 1 (one) 
650,em,ɯm,ume,ᡠᠮᡝ,,不要,don't ...
651,em durun,ɯm durun,emu durun ,ᡝᠮᡠ ᡩ᠋ᡠ᠋ᡵᡠᠨ,,一样,"identical, exactly like, the same"
652,em erind,ɯm ɯrind,emu erin de,ᡝᠮᡠ ᡝᡵᡳᠨ ᡩ᠋ᡝ᠋,,一时,"at the same time, simultaneously"
653,emaji,ɯmadʒi,emu majige,ᡝᠮᡠ ᠮᠠᠵᡳᡤᡝ,,一点,"a little, somewhat"
654,embad,ɯmbad,emu bade,ᡝᠮᡠ ᠪᠠᡩᡝ᠋,,"一起, 一个地方","in the same place, together"
655,embicy,ɯmbitɕʲ,embici,ᡝᠮᠪᡳᠴᡳ,,或许,"perhaps, or"
656,emdan,ɯmdan,emdan,ᡝᠮᡩ᠋ᠠᠨ,,一次,"once, one time"
657,emeN,ɯmɯŋ,enggemu,ᡝᠩᡤᡝᠮᡠ,,马鞍,saddle
658,emgeri,ɯmɡɯri,emgeri,ᡝᠮᡤᡝᡵᡳ,,已经,already
659,emkEn,ɯmkən,emken,ᡝᠮᡴᡝᠨ,,一个,one (of something)
660,emsaq,ɯmsaq,emu saka,ᡝᠮᡠ ᠰᠠᡴᠠ,,只身,"alone, all by oneself"
661,emtaN Gosin,ɯmtaŋ ɢɔɕin,emu tanggv gosin,ᡝᠮᡠ ᡨ᠋ᠠᠩᡤᡡ ᡤᠣᠰᡳᠨ,,一百三十,130 (one hundred thirty)
662,emtaN jEmu,ɯmtaŋ ɖʐəmu,tanggv juwan emu ,ᡨ᠋ᠠᠩᡤᡡ ᠵᡠᠸᠠᠨ ᡝᠮᡠ,,一百一十一,111 (one hundred eleven)
663,emtaN jEn ju,ɯmtaŋ ɖʐən ɖʐu,emu tanggv juwan juwe,ᡝᠮᡠ ᡨ᠋ᠠᠩᡤᡡ ᠵᡠᠸᠠᠨ ᠵᡠᠸᡝ,,一百一十二,112 (one hundred twelve)
664,emtaN orin,ɯmtaŋ ɔrin,emu tanggv orin,ᡝᠮᡠ ᡨ᠋ᠠᠩᡤᡡ ᠣᡵᡳᠨ,,一百二十,120 (one hundred twenty)
665,emtE ,ɯmtə,emte,ᡝᠮᡨᡝ᠋,,各一个,one each
666,emtely,ɯmtɯlʲ,emteli,ᡝᠮᡨᡝ᠋ᠯᡳ,,只一个,"sole, single, alone"
667,emudw,ɯmudʷ,emu udu,ᡝᠮᡠ ᡠᡩᡠ᠋,,一些个,"a few, some"
668,emVi,ɯmɣi,emgi,ᡝᠮᡤᡳ,,一起,"together, jointly, with"
669,emVun,ɯmɣun,emhun,ᡝᠮᡥᡠᠨ,,单身,"alone, single"
670,emx,ɯmx,emhe,ᡝᠮᡥᡝ,,"婆婆, 丈母娘",mother-in-law
671,en,ɯn,en ,ᡝᠨ,,嗯,(interjection expressing agreement)
672,encxen,ɯnʈʂxɯn,encehen,ᡝᠨᠴᡝᡥᡝᠨ,,能耐,"ability, capability"
673,encxen,ɯnʈʂxɯn,encehen,ᡝᠨᠴᡝᡥᡝᠨ,,母狗,female dog
674,endi,ɯndi,unde,ᡠᠨᡩᡝ᠋,,还没,not yet
675,endk,ɯndk,enteke,ᡝᠨᡨᡝ᠋ᡴᡝ,,如此这般,"like this, in this manner"
676,Endury,əndurʲ,enduri,ᡝᠨᡩᡠ᠋ᡵᡳ,,神,"god, deity"
677,eNecem,ɯŋɯʈʂɯm,enggecembi,ᡝᠩᡤᡝᠴᡝᠮᠪᡳ,,超越 (一味的动作),to surpass (in one instance)
678,eNelm,ɯŋɯɹm,enggelembi,ᡝᠩᡤᡝᠯᡝᠮᠪᡳ,,"超越, 凸出, 涨, 前倾, 俯瞰","to surpass, to exceed; to stick out; to increase; to lean forward; to overlook "
679,EneN,ənɯŋ,enenggi,ᡝᠨᡝᠩᡤᡳ,,今天,today
680,eNeXem,ɯŋɯʂɯm,enggexembi,ᡝᠩᡤᡝᡧᡝᠮᠪᡳ,,超越 (不间断重复动作),to surpass repeatedly
681,eni,ɯni,eniye,ᡝᠨᡳ,,母亲,mother
682,eny,ɯnʲ,eniye,ᡝᠨᡳᠶᡝ,,母亲,mother
683,er,ɯr,ere,ᡝᡵᡝ,,这个,this; this one
684,er medan,ɯr mɯdan,ere mudan,ᡝᡵᡝ ᠮᡠᡩ᠋ᠠᠨ,,这次,this time
685,erci,ɯrtɕi,erci,ᡝᡵᠴᡳ,,往这里,in this direction
686,erd ,ɯrd,erde,ᡝᡵᡩᡝ᠋,,提前之早,early
687,ErdE,ərdə,erde,ᡝᡵᡩᡝ᠋,,"早晨, 早",early morning
688,erdelem,ɯrdɯlɯm,erdelembi,ᡝᡵᡩᡝ᠋ᠯᡝᠮᠪᡳ,,趁早,to do early
689,erdken,ɯrdkɯn,erdeken,ᡝᡵᡩᡝ᠋ᡴᡝᠨ,,早一点,earlier
690,erem,ɯrɯm,erembi,ᡝᡵᡝᠮᠪᡳ,,希望,to hope
691,erin,ɯrin,erin,ᡝᡵᡳᠨ,,时间,time 
692,erkedem,ɯrkɯdɯm,erkecembi,ᡝᡵᡴᡝᠴᡝᠮᠪᡳ,,使性子,to throw a fit
693,erkem,ɯrkɯm,erkembi,ᡝᡵᡴᡝᠮᠪᡳ,,使性子,to throw a fit
694,ersem,ɯrsɯm,erxembi,ᡝᡵᡧᡝᠮᠪᡳ,,服侍,"to attend, to wait upon, to serve"
695,Ersun,ərsun,ersun,ᡝᡵᠰᡠᠨ,,"丑, 厉害","ugly, terrible"
696,erVeCem,ɯrɣɯCɯm,ergecembi,ᡝᡵᡤᡝᠴᡝᠮᠪᡳ,,休息着,to rest briefly
697,erVelm,ɯrɣɯɹm,ergelembi,ᡝᡵᡤᡝᠯᡝᠮᠪᡳ,,逼迫,"to force, to compel"
698,erVem,ɯrɣɯm,ergembi,ᡝᡵᡤᡝᠮᠪᡳ,,休息,to rest
699,erVen,ɯrɣɯn,ergen,ᡝᡵᡤᡝᠨ,,"元气, 生命, 气息","strength, vigor; life; breath"
700,erVeXem,ɯrɣɯʂɯm,ergexembi,ᡝᡵᡤᡝᡧᡝᠮᠪᡳ,,休憩,"to rest briefly, to take a break"
701,erVi,ɯrɣi,ergi,ᡝᡵᡤᡳ,,"侧, 面",side
702,erye,ɯrʲə,ara,ᠠᡵᠠ,,"哎呀, 疼啊","(interjection of surprise or pain) ""aiya"""
703,es,ɯs,ese,ᡝᠰᡝ,,这些,these
704,esx,ɯsx,esihe,ᡝᠰᡳᡥᡝ,,鳞,(fish) scale
705,esxenem,ɯsxɯnɯm,esukiyembi,ᡝᠰᡠᡴᡳᠶᡝᠮᠪᡳ,,呵斥,to scold/berate
706,etem,ɯtɯm,etembi,ᡝᡨᡝ᠋ᠮᠪᡳ,,赢,to win
707,eteNilm,ɯtɯŋiɹm,etenggilembi,ᡝᡨᡝ᠋ᠩᡤᡳᠯᡝᠮᠪᡳ,,逞强,to show off strength
708,etevem,ɯtɯvɯm,etebumbi,ᡝᡨᡝ᠋ᠪᡠᠮᠪᡳ,,败,"(causative form of etem (= etembi)) to be defeated, to lose"
709,etwxun,ɯtʷxun,etuhun,ᡝᡨᡠ᠋ᡥᡠᠨ,,强,"strong, powerful"
710,eva,ɯva,uba,ᡠᠪᠠ,,这里,this place
711,eva,ɯva,uba,ᡠᠪᠠ,,这里,here
712,eVecem,ɯɣɯʈʂɯm,ehecembi,ᡝᡥᡝᠴᡝᠮᠪᡳ,,"恶言, 恶行",to say mischievous things; to act in an evil manner
713,eveji,ɯvɯdʒi,,,,阿保机(古代人物)引申为恶鬼,Abaoji (ancient figure); extended to mean evil spirit
714,eVelem,ɯɣɯlɯm,ehelembi,ᡝᡥᡝᠯᡝᠮᠪᡳ,,施恶,to act in an evil manner
715,eVeliN,ɯɣɯliŋ,ehelinggv,ᡝᡥᡝᠯᡳᠩᡤᡡ,,恶的,evil
716,eVerem,ɯɣɯrɯm,eherembi,ᡝᡥᡝᡵᡝᠮᠪᡳ,,恶化,to become evil
717,everem,ɯvɯrɯm,eberembi,ᡝᠪᡝᡵᡝᠮᠪᡳ,,减退,"to go down, to decline"
718,ex,ɯx,ehe,ᡝᡥᡝ,,恶,"evil, wicked"
719,ex jaq cicim,ɯx ɖʐaq tɕitɕim,ehe jaka tucimbi,ᡝᡥᡝ ᠵᠠᡴᠠ ᡨᡠ᠋ᠴᡳᠮᠪᡳ,,排毒,to get rid of poison
720,eyi,ɯji,dai,ᡩᠠᡳ,,祖父,paternal grandfather
721,eyim,ɯjim,eyembi,ᡝᠶᡝᠮᠪᡳ,,流,to flow
722,eyim,ɯjim,eyembi,ᡝᠶᡝᠮᠪᡳ,,水流,(of water) to flow
723,eyin,ɯjin,eyen,ᡝᠶᡝᠨ,,流域,river basin; valley
724,eyivem,ɯjivɯm,eyebumbi,ᡝᠶᡝᠪᡠᠮᠪᡳ,,使流,causative form of eyim (= eyembi)
725,eyu nun,ɯjy nun,eyun nun,ᡝᠶᡠᠨ ᠨᡠᠨ,,姐妹,sister
726,fa,fa,fa,ᡶᠠ,,窗户,window
727,faam,faam,fambi,ᡶᠠᠮᠪᡳ,,"迷失, 干涸",to get lost; to dry up
728,facem,faʈʂɯm,facambi,ᡶᠠᠴᠠᠮᠪᡳ,,"凌乱, 散乱, 解散","to be messy, to be in disarray; to disperse, to scatter"
729,facevem,faʈʂɯvɯm,facabumbi,ᡶᠠᠴᠠᠪᡠᠮᠪᡳ,,使凌乱,causative form of facem (= facambi)
730,facq,faʈʂq,fajukv,ᡶᠠᠵᡠᡴᡡ,,屁股,buttocks; bottom; butt
731,facwhun,faʈʂʷχun,facuhvn,ᡶᠠᠴᡠᡥᡡᠨ,,动乱,"turmoil, upheaval, unrest"
732,facwhurum,faʈʂʷχurum,facuhvrambi,ᡶᠠᠴᡠᡥᡡᡵᠠᠮᠪᡳ,,动乱了,to fall into disorder
733,fad,fad,fadu,ᡶᠠᡩᡠ᠋,,腰袋,"waist bag, pouch"
734,faen,fæn,fiyan,ᡶᡳᠶᠠᠨ,,色,"color, complexion"
735,fafuN,fafuŋ,fafungga,ᡶᠠᡶᡠᠩᡤᠠ,,严厉,"strict, severe"
736,fafun ajig,fafun adʒiɡ,fafun ajige,ᡶᠠᡶᡠᠨ ᠠᠵᡳᡤᡝ,,管得松,lightly supervised
737,fafun ambu,fafun ambu,fafun amba,ᡶᠠᡶᡠᠨ ᠠᠮᠪᠠ,,严厉,"strict, severe"
738,fah,faχ,faha,ᡶᠠᡥᠠ,,粒,grain
739,fahsy,faχsʲ,faksi,ᡶᠠᡴᠰᡳ,,智巧,"skillful, crafty"
740,faidem,fajdɯm,faidambi,ᡶᠠᡳ᠌ᡩ᠋ᠠᠮᠪᡳ,,站队,to line up
741,faiden,fajdɯn,faidan,ᡶᠠᡳ᠌ᡩ᠋ᠠᠨ,,队,"line, row, file"
742,faidevem,fajdɯvɯm,faidabumbi,ᡶᠠᡳ᠌ᡩ᠋ᠠᠪᡠᠮᠪᡳ,,使站队,causative form of faidevem (= faidabumbi)
743,fajen,faɖʐɯn,fajan,ᡶᠠᠵᠠᠨ,,走兽粪便,dung (from animals)
744*,fajen javem,faɖʐɯn ɖʐavɯm,fajan jafambi,ᡶᠠᠵᠠᠨ ᠵᠠᡶᠠᠮᠪᡳ,,便秘,constipation
745,fajerRen,faɖʐɯrʁɯn,fajiran,ᡶᠠᠵᡳᡵᠠᠨ,,墙,wall
746,falem,falɯm,falambi,ᡶᠠᠯᠠᠮᠪᡳ,,发面,to make bread; (of yeast) to rise
747,falem,falɯm,falambi,ᡶᠠᠯᠠᠮᠪᡳ,,罚,to punish
748,falen,falɯn,falan,ᡶᠠᠯᠠᠨ,,"屋地面, 场",floor
749,falevem,falɯvɯm,falabumbi,ᡶᠠᠯᠠᠪᡠᠮᠪᡳ,,使罚,causative/passive form of falem (= falambi)
750,fancal,fanʈʂaɹ,fancal,ᡶᠠᠨᠴᠠᠯ,,风筝,kite
751,fancem,fanʈʂɯm,fancambi,ᡶᠠᠨᠴᠠᠮᠪᡳ,,生气,to become angry
752,fancuXwqw,fanʈʂuʂʷqʷ,fancacuka,ᡶᠠᠨᠴᠠᠴᡠᡴᠠ,,令人生气的,anger-inducing
753,faqar,faqar,fakvri,ᡶᠠᡴᡡᡵᡳ,,裤子,"trousers, pants"
754,faqcem,faqʈʂɯm,fakcambi,ᡶᠠᡴᠴᠠᠮᠪᡳ,,离别,to part; to separate
755,faqselm,faqsɯɹm,faksalambi,ᡶᠠᡴᠰᠠᠯᠠᠮᠪᡳ,,使分离,causative form of faqcem (= fakcambi)
756,far ,far,fara,ᡶᠠᡵᠠ,,车辕,shaft
757,farfevem,farfɯvɯm,farfabumbi,ᡶᠠᡵᡶᠠᠪᡠᠮᠪᡳ,,迷失,to get lost
758,farRun,farʁun,farhvn,ᡶᠠᡵᡥᡡᠨ,,(天) 黑,(of the sky) dark
759,farsy,farsʲ,farsi,ᡶᠠᡵᠰᡳ,,块,piece
760,faRun,faʁun,fahvn,ᡶᠠᡥᡡᠨ,,"肝, 胆子","liver, courage, nerve"
761,fatem,fatɯm,fatambi,ᡶᠠᡨ᠋ᠠᠮᠪᡳ,,"摘, 掐","to pick, to pluck; to pinch"
762,fath,fatχ,fatha,ᡶᠠᡨᡥᠠ,,蹄子,hoof
763,favun,favun,fafun,ᡶᠠᡶᡠᠨ,,命令,"order, command"
764,faXq,faʂq,fajukv,ᡶᠠᠵᡠᡴᡡ,,肛门,"buttocks, anus"
765*,faXqei filcin,faʂqɯj fiɹtɕin,fajukv i fulcin,ᡶᠠᠵᡠᡴᡡ ᡳ ᡶᡠᠯᠴᡳᠨ,,臀颊,buttcheeks 
766,fayiN,fajiŋ,fayangga,ᡶᠠᠶᠠᠩᡤᠠ,,魂魄,soul
767,fayivem,fajivɯm,fayabumbi,ᡶᠠᠶᠠᠪᡠᠮᠪᡳ,,花费,to spend
768,fE ,fə,fe ,ᡶᡝ,,旧,"old, aged"
769,fedashun,fɯdasχun,fudasihvn,ᡶ᠋ᡠᡩ᠋ᠠᠰᡳᡥᡡᠨ,,反的,reversed
770,fedem,fɯdɯm,fudembi,ᡶ᠋ᡠᡩᡝ᠋ᠮᠪᡳ,,送客,to see/send off
771,fedeXem,fɯdɯʂɯm,fudexembi,ᡶ᠋ᡠᡩᡝ᠋ᡧᡝᠮᠪᡳ,,送客,"(of a visitor) to send off, to see off"
772,fef,fɯf,fefe,ᡶᡝᡶᡝ,,女性阴部,vulva
773,fef gyam,fɯf ɡʲam,fefe gaimbi,ᡶᡝᡶᡝ ᡤᠠᡳ᠌ᠮᠪᡳ,,性交,to have sexual intercourse
774,fei,fɯj,feye,ᡶᡝᠶᡝ,,伤,wound
775,fei,fɯj,feye,ᡶᡝᠶᡝ,,"巢, 疮",nest; wound
776,fejerVi,fɯɖʐɯrɣi,fejergi,ᡶᡝᠵᡝᡵᡤᡳ,,下面,"underneath, below"
777,fejisy,fɯdʒisʲ,fejergici,ᡶᡝᠵᡝᡵᡤᡳᠴᡳ,,往下,downward-facing
778,feksim,fɯkɕim,feksimbi,ᡶᡝᡴᠰᡳᠮᠪᡳ,,跑,to run
779,fel,fɯɹ,fele,ᡶᡝᠯᡝ,,份,"part, fraction"
780,felaqw,fɯlaqʷ,fele akv,ᡶᡝᠯᡝ ᠠᡴᡡ,,非常的,very much
781,felgaen,fɯɹɡæn,fulgiyan,ᡶᡠᠯᡤᡳᠶᠠᠨ,,红,red
782,felgyan mersa,fɯɹɡʲan mɯrsa,fulgiyan mursa,ᡶᡠᠯᡤᡳᠶᠠᠨ ᠮᡠᡵᠰᠠ,,红萝卜,carrot
783,femen,fɯmɯn,femen,ᡶᡝᠮᡝᠨ,,嘴唇,lip
784,fencem,fɯnʈʂɯm,funcembi,ᡶᡠᠨᠴᡝᠮᠪᡳ,,剩余,to be left over
785,fencevem,fɯnʈʂɯvɯm,funcebumbi,ᡶᡠᠨᠴᡝᠪᡠᠮᠪᡳ,,使剩余,causative form of fencem (= funcembi)
786,feNnem,fɯŋnɯm,fungnembi,ᡶᡠᠩᠨᡝᠮᠪᡳ,,册封,to confer a title
787,feNnilm,fɯŋniɹm,feniyelembi,ᡶᡝᠨᡳᠶᡝᠯᡝᠮᠪᡳ,,集群,"to crowd together, to form a group/flock"
788,feNnilm,fɯŋniɹm,feniyembi,ᡶᡝᠨᡳᠶᡝᠮᠪᡳ,,打捆,to form a bundle/bunch
789,feNnin,fɯŋnin,feniyen,ᡶᡝᠨᡳᠶᡝᠨ,,捆,bundle
790,feNnin,fɯŋnin,feniyen,ᡶᡝᠨᡳᠶᡝᠨ,,一捆,"a group of animals (flock, swarm, drove, herd, crowd)"
791,fenpi,fɯnpʰi,fempi,ᡶᡝᠮᡦᡳ,,封皮,"envelope, seal"
792,fenpilm,fɯnpʰiɹm,fenpilembi,ᡶᡝᠨᡦᡳᠯᡝᠮᠪᡳ,,封皮,to seal
793,feNs,fɯŋs,fengse,ᡶᡝᠩᠰᡝ,,疯子,crazy person
794,feNsedem,fɯŋsɯdɯm,fengsedembi,ᡶᡝᠩᠰᡝᡩᡝ᠋ᠮᠪᡳ,,发疯,to go crazy
795,feNsk,fɯŋsk,fengseku,ᡶᡝᠩᠰᡝᡴᡠ,,盆,"basin, washbasin"
796,fentanem,fɯntanɯm,funtanambi,ᡶ᠋ᡠᠨᡨ᠋ᠠᠨᠠᠮᠪᡳ,,发霉,"to become moldy, to mold"
797,feqsam,fɯqsam,fucihiyambi,ᡶᡠᠴᡳᡥᡳᠶᠠᠮᠪᡳ,,咳嗽,to cough
798,fer ,fɯr,fere,ᡶᡝᡵᡝ,,底,"bottom, base"
799,fer far sem,fɯr far sɯm,fer far seme,ᡶᡝᡵ ᡶᠠᡵ ᠰᡝᠮᡝ,,红旗风中飘荡的声音,(sound of red flags flying)
800,ferVem,fɯrɣɯm,ferguwembi,ᡶᡝᡵᡤᡠᠸᡝᠮᠪᡳ,,赞,to praise
801,ferVevem,fɯrɣɯvɯm,ferguwebumbi,ᡶᡝᡵᡤᡠᠸᡝᠪᡠᠮᠪᡳ,,被赞,passive form of ferVem (= ferguwembi)
802,ferVucwkw,fɯrɣuʈʂʷkʷ,ferguwecuke,ᡶᡝᡵᡤᡠᠸᡝᠴᡠᡴᡝ,,奇特,"peculiar, unusual"
803,fesejem,fɯsɯɖʐɯm,fusejembi,ᡶᡠᠰᡝᠵᡝᠮᠪᡳ,,穿透,to break through; to penetrate
804,fesen,fɯsɯn,fesin,ᡶᡝᠰᡳᠨ,,柄,handle
805,feserem,fɯsɯrɯm,feserembi,ᡶᡝᠰᡝᡵᡝᠮᠪᡳ,,变细末,to turn into fine dust
806,feta,fɯta,futa,ᡶ᠋ᡠᡨ᠋ᠠ,,绳子,"rope, string"
