Entry,Spoken,IPA,Written,Script Version,Script,Mandarin,English
18,aenem,ænɯm,ainambi,ᠠᡳ᠌ᠨᠠᠮᠪᡳ,,干什么,to do what
19,aerk,ærk,arki,ᠠᡵᡴᡳ,,烧酒,distilled liquor or spirits
20,aesk,æsk,asuki,ᠠᠰᡠᡴᡳ,,动静,"(noticeable) movement, activity"
21,aevi,ævi,aibi,ᠠᡳ᠌ᠪᡳ,,什么地方,what place
22,aevi deri,ævi dɯri,aibi deri,ᠠᡳ᠌ᠪᡳ ᡩ᠋ᡝ᠋ᡵᡳ,,从什么地方,from what place
23,aevid,ævid,aibi de,ᠠᡳ᠌ᠪᡳ ᡩ᠋ᡝ᠋,,在什么地方,Where
24,afem,afɯm,afambi,ᠠᡶᠠᠮᠪᡳ,,打仗,"to fight a battle, to go to war"
25,afendum,afɯndum,afandumbi,ᠠᡶᠠᠨᡩᡠ᠋ᠮᠪᡳ,,对战,to battle
26,afh ,afχ,abdaha,ᠠᠪᡩ᠋ᠠᡥᠠ,,叶,leaf
27,afqa,afqa,abka,ᠠᠪᡴᠠ,,天,"heaven, sky, weather, day"
28,afqa jaqerem,afqa ɖʐaqɯrɯm,abka jakarambi,ᠠᠪᡴᠠ ᠵᠠᡴᠠᡵᠠᠮᠪᡳ,,天刚亮,to dawn
29,afqai bira ,afqaj bira,abkai bira,ᠠᠪᡴᠠᡳ ᠪᡳᡵᠠ,,天河,the Milky Way
30,afsy,afsʲ,absi,ᠠᠪᠰᡳ,,怎么样,"how, in what manner"
31,age,aɡɯ,age,ᠠᡤᡝ,,哥哥,"elder brother, elder male"
32,ageni,aɡɯni,age ningge,ᠠᡤᡝ ᠨᡳᠩᡤᡝ,,他哥,husband's elder brother
33,agu,aɡu,agu,ᠠᡤᡠ,,君,"honorific form for men, sir, master (= ""gentleman"")"
34,ah,aχ,aha,ᠠᡥᠠ,,仆人,servant
35,ahsem,aχsɯm,aksambi,ᠠᡴᠰᠠᠮᠪᡳ,,戴,to put on
36,ahsum,aχsum,aksumbi,ᠠᡴᠰᡠᠮᠪᡳ,,烟呛,(from smoke) to choke
37,ai ,aj,ai,ᠠᡳ,,什么,what
38,aicim,ajtɕim,acimbi,ᠠᠴᡳᠮᠪᡳ,,动,"to move, to start"
39,aiciNgyam,ajtɕiŋɡʲam,acinggiyambi,ᠠᠴᡳᠩᡤᡳᠶᠠᠮᠪᡳ,,"动, 感动","to move, to be touching"
40,aiciNgyavem,ajtɕiŋɡʲavɯm,acinggiyabumbi,ᠠᠴᡳᠩᡤᡳᠶᠠᠪᡠᠮᠪᡳ,,"使动, 被感动",causative/passive form of aiciNgyavem (= acinggiyabumbi)
41,aicivem,ajtɕivɯm,acibumbi,ᠠᠴᡳᠪᡠᠮᠪᡳ,,使动,causative form of aicim (= acimbi)
42,aifini,ajfini,ai fon i,ᠠᡳ ᡶᠣᠨ ᡳ,,老早,a long time ago
43,aiqa,ajqa,aika,ᠠᡳ᠌᠌ᡴᠠ,,如果,"if, whether"
44,aiqabad,ajqabad,aika bade,ᠠᡳ᠌ᡴᠠ ᠪᠠᡩᡝ᠋,,如果是,"if, in the case that"
45,aiRum,ajʁum,aihvma,ᠠᡳ᠌ᡥᡡᠮᠠ,,雄龟,male turtle
46,aisilm,ajɕiɹm,aisilambi,ᠠᡳ᠌ᠰᡳᠯᠠᠮᠪᡳ,,帮助,to help/aid
47,aisin,ajɕin,aisin,ᠠᡳ᠌ᠰᡳᠨ,,金,gold
48,aisin faen,ajɕin fæn,aisin fiyan,ᠠᡳ᠌ᠰᡳᠨ ᡶᡳᠶᠠᠨ,,金色,golden color
49,aisy,ajsʲ,aisi,ᠠᡳ᠌ᠰᡳ,,利益,profit
50,aitem,ajtɯm,aitumbi,ᠠᡳ᠌ᡨᡠ᠋ᠮᠪᡳ,,活了,"to come back to life, to revive"
51,aitevem,ajtɯvɯm,aitubumbi,ᠠᡳ᠌ᡨᡠ᠋ᠪᡠᠮᠪᡳ,,救,"(causative form of aitem (= aitumbi)) to save, to revive, to bring back to life"
52,aitiN,ajtiŋ,atanggi,ᠠᡨ᠋ᠠᠩᡤᡳ,,什么时候,when
53,ajarRen,aɖʐarʁɯn,ajargan,ᠠᠵᠠᡵᡤᠠᠨ,,公马,stallion
54,aji bo,adʒi bɔ,ajige boo,ᠠᠵᡳᡤᡝ ᠪᠣᠣ,,小家,"small house, dwelling"
55,aji deVame,adʒi dɯɣamɯ,,,,小姨夫,mother's younger sister's husband
56,aji deVeme,adʒi dɯɣɯmɯ,aji deheme,ᠠᠵᡳ ᡩ᠋ᡝ᠋ᡥᡝᠮᡝ,,小姨妈,mother's younger sister
57,aji ece,adʒi ɯʈʂɯ,aji ecike,ᠠᠵᡳ ᡝᠴᡳᡴᡝ,,小叔,husband's younger brother
58,aji eni,adʒi ɯni,ajige eniye,ᠠᠵᡳᡤᡝ ᡝᠨᡳᠶᡝ,,婶子,father's younger brother's wife
59,aji eni,adʒi ɯni,ajige eniye,ᠠᠵᡳᡤᡝ ᡝᠨᡳᠶᡝ,,婶子,husband's younger brother's wife
60,aji gufu,adʒi ɡufu,ajige gufu,ᠠᠵᡳᡤᡝ ᡤᡠᡶᡠ,,小姑父,father's younger sister's husband
61,aji guVu,adʒi ɡuɣu,ajige gugu,ᠠᠵᡳᡤᡝ ᡤᡠᡤᡠ,,小姑,father's younger sister
62,aji kevel,adʒi kɯvɯɹ,ajige hefeli,ᠠᠵᡳᡤᡝ ᡥᡝᡶᡝᠯᡳ,,小腹,"underbelly, lower abdomen "
63,aji laNtu,adʒi laŋtu,,,,小榔头,hammer
64,aji mulan,adʒi mulan,ajige mulan,ᠠᠵᡳᡤᡝ ᠮᡠᠯᠠᠨ,,小板凳,stool
65,aji naqce,adʒi naqʈʂɯ,ajige nakcu,ᠠᠵᡳᡤᡝ ᠨᠠᡴᠴᡠ,,小舅,mother's elder brother
66,aji xenaqce,adʒi xɯnaqʈʂɯ,ajige hehe nakcu,ᠠᠵᡳᡤᡝ ᡥᡝᡥᡝ ᠨᠠᡴᠴᡠ,,小舅母,mother's younger brother's wife
67,aji yileN,adʒi jilɯŋ,ajige ilenggu,ᠠᠵᡳᡤᡝ ᡳᠯᡝᠩᡤᡠ,,小舌,uvula
68,ajig,adʒiɡ,ajige,ᠠᠵᡳᡤᡝ,,小,"little, small, young"
69,ajigen,adʒiɡɯn,fiyoose,ᡶᡳᠶᠣᠣᠰᡝ,,小的,"little, small, young"
70,ajigen,adʒiɡɯn,ajigengge,ᠠᠵᡳᡤᡝᠩᡤᡝ,,很小,very small
71,ajyage,aɖʐʲaɡɯ,ajige age,ᠠᠵᡳᡤᡝ ᠠᡤᡝ,,小哥,immediately senior brother
72,ajyame,aɖʐʲamɯ,ajige ama,ᠠᠵᡳᡤᡝ ᠠᠮᠠ,,叔父,father's younger brother
73,albatw,aɹbatʷ,albatu,ᠠᠯᠪᠠᡨᡠ᠋,,粗鲁,"rude, coarse"
74,aldasy becem,aɹdasʲ bɯʈʂɯm,aldasi bucembi,ᠠᠯᡩ᠋ᠠᠰᡳ ᠪᡠᠴᡝᠮᠪᡳ,,半生死,"to die early, to die in the middle of one's life"
75,aldevem,aɹdɯvɯm,aldabumbi,ᠠᠯᡩ᠋ᠠᠪᡠᠮᠪᡳ,,"脱手, 失手落",(of goods) to sell/dispose of; to let fall; to let loose
76,alduN,aɹduŋ,aldungga,ᠠᠯᡩᡠ᠋ᠩᡤᠠ,,奇特的,"peculiar, unusual, queer"
